"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.231927150E1,6.499215839E1,2.551677577E1,1.492194142E1,1.559999943E0,6.309999847E1,3.790092468E0,2.500000000E0
4.331927113E1,6.499216457E1,2.551680920E1,1.505353463E1,1.629999995E0,6.040000153E1,3.790092468E0,2.500000000E0
4.431926253E1,6.499217232E1,2.551684114E1,1.501502449E1,1.620000005E0,5.240000153E1,3.790092468E0,2.500000000E0
4.531895514E1,6.499217897E1,2.551687413E1,1.527375442E1,1.590000033E0,5.870000076E1,3.790092468E0,2.500000000E0
4.631871430E1,6.499218658E1,2.551690847E1,1.530506807E1,1.629999995E0,5.759999847E1,3.790092468E0,2.500000000E0
4.731897045E1,6.499219424E1,2.551694198E1,1.525685306E1,1.659999967E0,6.190000153E1,3.790092468E0,2.500000000E0
4.831870660E1,6.499220095E1,2.551697838E1,1.516981845E1,1.639999986E0,6.419999695E1,3.790092468E0,2.500000000E0
4.931843899E1,6.499220819E1,2.551701098E1,1.504323403E1,1.600000024E0,5.920000076E1,3.790092468E0,2.500000000E0
5.031884524E1,6.499221624E1,2.551704126E1,1.522945584E1,1.580000043E0,5.470000076E1,3.790092468E0,2.500000000E0
5.131884087E1,6.499222259E1,2.551707220E1,1.525045382E1,1.580000043E0,5.970000076E1,3.790092468E0,2.500000000E0
5.231896628E1,6.499223037E1,2.551710196E1,1.557369937E1,1.600000024E0,5.850000000E1,3.790092468E0,2.500000000E0
5.331904675E1,6.499223618E1,2.551713173E1,1.576474094E1,1.529999971E0,6.300000000E1,3.790092468E0,2.500000000E0
5.431900222E1,6.499224289E1,2.551716206E1,1.581619588E1,1.570000052E0,5.850000000E1,3.790092468E0,2.500000000E0
5.531900383E1,6.499224964E1,2.551719196E1,1.550894730E1,1.549999952E0,5.950000000E1,3.790092468E0,2.500000000E0
5.631892696E1,6.499225662E1,2.551722273E1,1.547867635E1,1.590000033E0,5.890000153E1,3.790092468E0,2.500000000E0
5.731856805E1,6.499226445E1,2.551725176E1,1.558292790E1,1.590000033E0,5.740000153E1,3.790092468E0,2.500000000E0
5.831870420E1,6.499227333E1,2.551728150E1,1.552586441E1,1.649999976E0,5.459999847E1,3.790092468E0,2.500000000E0
5.931886128E1,6.499228177E1,2.551731080E1,1.563225271E1,1.559999943E0,5.850000000E1,3.790092468E0,2.500000000E0
6.031862477E1,6.499229043E1,2.551734104E1,1.587969335E1,1.669999957E0,5.620000076E1,3.790092468E0,2.500000000E0
6.131853763E1,6.499229984E1,2.551736889E1,1.652819700E1,1.610000014E0,4.979999924E1,3.790092468E0,2.500000000E0
6.231849472E1,6.499230946E1,2.551739656E1,1.664532879E1,1.629999995E0,5.140000153E1,3.790092468E0,2.500000000E0
6.331856227E1,6.499231834E1,2.551742683E1,1.691474229E1,1.590000033E0,5.479999924E1,3.790092468E0,2.500000000E0
6.431920914E1,6.499232814E1,2.551745503E1,1.679206705E1,1.679999948E0,5.020000076E1,3.790092468E0,2.500000000E0
6.531842498E1,6.499233643E1,2.551748277E1,1.676002769E1,1.570000052E0,5.450000000E1,3.790092468E0,2.523802042E0
6.631908471E1,6.499234609E1,2.551751391E1,1.731905360E1,1.679999948E0,5.250000000E1,3.790092468E0,2.579552412E0
6.731863081E1,6.499235559E1,2.551754234E1,1.817709095E1,1.549999952E0,5.140000153E1,3.790092468E0,2.694174051E0
6.831939716E1,6.499236446E1,2.551757336E1,1.797580122E1,1.629999995E0,5.690000153E1,3.790092468E0,2.566169739E0
6.931910299E1,6.499237414E1,2.551760532E1,1.784110146E1,1.580000043E0,5.579999924E1,3.790092468E0,2.650390625E0
7.031890924E1,6.499238475E1,2.551763406E1,1.791343423E1,1.600000024E0,5.000000000E1,3.790092468E0,2.620123625E0
7.131890982E1,6.499239571E1,2.551766507E1,1.780546918E1,1.570000052E0,5.379999924E1,3.790092468E0,2.756292105E0
7.231884383E1,6.499240793E1,2.551769267E1,1.767278649E1,1.590000033E0,4.840000153E1,3.790092468E0,2.933232307E0
7.331913763E1,6.499241947E1,2.551771764E1,1.722436865E1,1.600000024E0,4.870000076E1,3.790092468E0,2.801892757E0
7.431896263E1,6.499243032E1,2.551774435E1,1.702289819E1,1.559999943E0,4.690000153E1,3.790092468E0,2.659774780E0
7.531848700E1,6.499244046E1,2.551776873E1,1.705708411E1,1.570000052E0,4.129999924E1,3.790092468E0,2.588979959E0
7.631864138E1,6.499245144E1,2.551779189E1,1.749526267E1,1.600000024E0,4.209999847E1,3.790092468E0,2.500000000E0
7.731921981E1,6.499246345E1,2.551780966E1,1.786911181E1,1.470000029E0,2.970000076E1,3.790092468E0,2.500000000E0
7.831847429E1,6.499247502E1,2.551783177E1,1.795939066E1,1.600000024E0,4.150000000E1,3.790092468E0,2.500000000E0
7.931881060E1,6.499248936E1,2.551784799E1,1.812535641E1,1.629999995E0,2.520000076E1,3.790092468E0,2.542724848E0
8.031907237E1,6.499250278E1,2.551786754E1,1.842694100E1,1.549999952E0,2.829999924E1,3.790092468E0,2.696732521E0
8.131868778E1,6.499251541E1,2.551788848E1,1.864325858E1,1.529999971E0,3.429999924E1,3.790092468E0,2.943603992E0
8.231905294E1,6.499252895E1,2.551790978E1,1.887373710E1,1.549999952E0,3.329999924E1,3.790092468E0,3.195133448E0
8.331907846E1,6.499253987E1,2.551793151E1,1.888216725E1,1.470000029E0,4.009999847E1,3.790092468E0,3.294259787E0
