"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.818531880E-1,1.392230868E0,-5.873527527E-1,-2.522404671E0
3.868531880E-1,1.295565724E0,-5.109121799E-1,-2.812996387E0
3.918531880E-1,1.229973435E0,-4.245767593E-1,-3.036635399E0
3.968531880E-1,1.160403490E0,-3.226745129E-1,-3.197022438E0
4.018531880E-1,1.061960340E0,-2.328319550E-1,-3.298658848E0
4.068531880E-1,9.162917137E-1,-1.558170319E-1,-3.336118221E0
4.118531880E-1,7.793897390E-1,-6.321334839E-2,-3.314059258E0
4.168531880E-1,6.588726044E-1,2.506160736E-2,-3.243099689E0
4.218531880E-1,5.608820915E-1,8.673119545E-2,-3.162736893E0
4.268531880E-1,4.992245436E-1,1.067450047E-1,-3.074254036E0
4.318531880E-1,4.887771606E-1,1.101753712E-1,-2.993951321E0
4.368531880E-1,4.851887226E-1,9.926056862E-2,-2.902570248E0
4.418531880E-1,4.604393244E-1,9.023594856E-2,-2.790361881E0
4.468531880E-1,3.921051025E-1,9.712624550E-2,-2.618719578E0
4.518531880E-1,2.989330292E-1,8.627867699E-2,-2.412247181E0
4.568531880E-1,2.260589600E-1,8.218073845E-2,-2.184243679E0
4.618531880E-1,2.138094902E-1,7.826256752E-2,-1.977050304E0
4.668531880E-1,2.446452379E-1,6.069755554E-2,-1.800517559E0
4.718531880E-1,2.463676929E-1,7.392191887E-2,-1.605639458E0
4.768531880E-1,1.823579073E-1,1.091325283E-1,-1.455592632E0
4.818531880E-1,7.015454769E-2,1.614217758E-1,-1.337427616E0
4.868531880E-1,9.049057961E-3,2.340552807E-1,-1.251120567E0
4.918531880E-1,-3.960156441E-2,3.258802891E-1,-1.176262856E0
4.968531880E-1,-8.737576008E-2,3.715498447E-1,-1.070025444E0
5.018531880E-1,-9.064674377E-2,4.359712601E-1,-9.556608200E-1
5.068531880E-1,-1.102256775E-1,4.725985527E-1,-8.600625992E-1
5.118531880E-1,-1.589050293E-1,5.036425591E-1,-7.988386154E-1
5.168531880E-1,-1.798931360E-1,5.363464355E-1,-7.055568695E-1
5.218531880E-1,-2.030081749E-1,5.781433582E-1,-6.060075760E-1
5.268531880E-1,-2.077901363E-1,6.264822483E-1,-4.924840927E-1
5.318531880E-1,-1.959164143E-1,6.792495251E-1,-3.733358383E-1
5.368531880E-1,-2.230569124E-1,7.100913525E-1,-2.712821960E-1
5.418531880E-1,-2.472501993E-1,7.600548267E-1,-1.945552826E-1
5.468531880E-1,-2.456387281E-1,7.787272930E-1,-9.044933319E-2
5.518531880E-1,-2.256036997E-1,7.954339981E-1,5.004882812E-2
5.568531880E-1,-1.607656479E-1,8.161118031E-1,2.287349701E-1
5.618531880E-1,-8.126676083E-2,8.166782856E-1,4.057455063E-1
5.668531880E-1,5.003452301E-3,7.875504494E-1,5.356721878E-1
5.718531880E-1,9.811079502E-2,7.096648216E-1,5.951309204E-1
5.768531880E-1,1.847620010E-1,6.422464848E-1,5.980300903E-1
5.818531880E-1,2.225061655E-1,5.431270599E-1,5.529127121E-1
5.868531880E-1,1.995923519E-1,4.822375774E-1,4.812068939E-1
5.918531880E-1,1.327433586E-1,4.448401928E-1,4.480752945E-1
5.968531880E-1,5.430829525E-2,4.213724136E-1,4.446525574E-1
6.018531880E-1,5.369544029E-3,4.009351730E-1,3.841905594E-1
6.068531880E-1,-4.136157036E-2,4.190263748E-1,2.865810394E-1
6.118531880E-1,-6.297850609E-2,4.547472000E-1,2.030324936E-1
6.168531880E-1,-8.957803249E-2,5.231013298E-1,1.445760727E-1
6.218531880E-1,-8.828437328E-2,5.474324226E-1,4.836273193E-2
6.268531880E-1,-7.839208841E-2,5.437664986E-1,-8.319473267E-2
6.318531880E-1,-4.490584135E-2,5.007357597E-1,-2.438764572E-1
6.368531880E-1,2.288502455E-2,3.996281624E-1,-4.011402130E-1
6.418531880E-1,8.187270164E-2,3.328294754E-1,-5.025768280E-1
6.468531880E-1,9.967362881E-2,3.090915680E-1,-5.392045975E-1
6.518531880E-1,9.382176399E-2,3.262042999E-1,-5.144271851E-1
6.568531880E-1,7.228642702E-2,3.399648666E-1,-4.957780838E-1
6.618531880E-1,6.816452742E-2,3.881645203E-1,-3.999261856E-1
6.668531880E-1,1.011303663E-1,4.260053635E-1,-2.994346619E-1
6.718531880E-1,1.326609850E-1,4.575748444E-1,-2.147817612E-1
6.768531880E-1,1.347168684E-1,4.843354225E-1,-9.471988678E-2
6.818531880E-1,1.352869868E-1,5.197091103E-1,3.689765930E-3
6.868531880E-1,1.595725417E-1,5.449261665E-1,1.096582413E-1
6.918531880E-1,2.348838449E-1,5.349335670E-1,2.315053940E-1
6.968531880E-1,3.363185525E-1,5.097417831E-1,4.451675415E-1
7.018531880E-1,4.418857992E-1,4.742364883E-1,7.669630051E-1
7.068531880E-1,5.462011099E-1,4.332404137E-1,1.176837921E0
7.118531880E-1,6.106176972E-1,3.885028362E-1,1.638036728E0
7.168531880E-1,6.591357589E-1,3.498895168E-1,2.182349205E0
7.218531880E-1,7.370184064E-1,3.448886871E-1,2.777109146E0
7.268531880E-1,7.639690042E-1,3.394284248E-1,3.400187492E0
7.318531880E-1,8.160506487E-1,3.340375423E-1,3.994314194E0
7.368531880E-1,8.985081315E-1,2.880723476E-1,4.386805534E0
7.418531880E-1,9.707018733E-1,1.876442432E-1,4.558485031E0
7.468531880E-1,9.832507372E-1,6.901359558E-2,4.534839630E0
7.518531880E-1,9.583371878E-1,-5.538988113E-2,4.320904732E0
7.568531880E-1,8.868930936E-1,-1.728720665E-1,3.919366837E0
7.618531880E-1,8.117209077E-1,-2.250967026E-1,3.358068466E0
7.668531880E-1,7.441312671E-1,-2.235450745E-1,2.743182182E0
7.718531880E-1,6.751300097E-1,-1.846728325E-1,2.126007080E0
7.768531880E-1,6.454333067E-1,-1.383950710E-1,1.570629120E0
7.818531880E-1,6.485941410E-1,-1.143317223E-1,1.152595520E0
7.868531880E-1,6.699844003E-1,-8.430671692E-2,6.819381714E-1
7.918531880E-1,6.870407462E-1,-5.079555511E-2,2.710943222E-1
7.968531880E-1,6.718730927E-1,-5.035448074E-2,-1.584339142E-2
8.018531880E-1,6.383542418E-1,-4.149198532E-2,-2.583532333E-1
8.068531880E-1,6.173845530E-1,-3.749561310E-2,-4.484586716E-1
8.118531880E-1,5.778017044E-1,-4.297113419E-2,-4.831352234E-1
8.168531880E-1,5.076427460E-1,-7.905268669E-2,-5.344400406E-1
8.218531880E-1,4.274375439E-1,-1.361465454E-1,-4.827823639E-1
8.268531880E-1,3.841847181E-1,-1.790502071E-1,-4.128046036E-1
8.318531880E-1,3.545611501E-1,-2.343556881E-1,-3.813343048E-1
8.368531880E-1,3.243731260E-1,-2.329025269E-1,-2.520837784E-1
8.418531880E-1,3.352559209E-1,-2.473378181E-1,-1.041660309E-1
8.468531880E-1,3.833314180E-1,-2.614290714E-1,8.046150208E-2
8.518531880E-1,4.543023407E-1,-2.520096302E-1,2.424583435E-1
8.568531880E-1,5.031329393E-1,-2.892141342E-1,3.807315826E-1
8.618531880E-1,4.870688319E-1,-3.274972439E-1,5.282955170E-1
8.668531880E-1,4.555504322E-1,-3.834118843E-1,5.567569733E-1
8.718531880E-1,3.966029286E-1,-4.712836742E-1,4.385948181E-1
8.768531880E-1,3.321810365E-1,-5.142405033E-1,3.357505798E-1
8.818531880E-1,2.490028739E-1,-5.488405228E-1,1.108798981E-1
8.868531880E-1,1.194967031E-1,-6.044945717E-1,-2.344837189E-1
8.918531880E-1,3.827083111E-2,-6.553094387E-1,-6.082124710E-1
8.968531880E-1,-4.318594933E-3,-6.636333466E-1,-9.651947021E-1
9.018531880E-1,-1.285858154E-1,-7.496082783E-1,-1.347864151E0
9.068531880E-1,-2.960391045E-1,-8.226668835E-1,-1.757224560E0
9.118531880E-1,-2.226612568E-1,-7.394940853E-1,-2.107550144E0
9.168531880E-1,-2.182737589E-1,-6.861195564E-1,-2.321780205E0
9.218531880E-1,-2.078629732E-1,-6.522345543E-1,-2.544266224E0
9.268531880E-1,-1.864061356E-1,-6.551575661E-1,-2.740898609E0
9.318531880E-1,-1.842815876E-1,-6.392958164E-1,-2.868784904E0
